epoch,original_stage,original_binary,auto_suggestion,final_binary,corrected
314,Non-REM,Non-REM,Non-REM,Non-REM,False
315,Non-REM,Non-REM,Non-REM,Non-REM,False
316,Non-REM,Non-REM,Non-REM,Non-REM,False
317,Non-REM,Non-REM,Non-REM,Non-REM,False
318,Non-REM,Non-REM,Non-REM,Non-REM,False
319,Non-REM,Non-REM,Non-REM,Non-REM,False
320,Non-REM,Non-REM,REM,REM,True
321,Non-REM,Non-REM,Non-REM,Non-REM,False
322,Non-REM,Non-REM,Non-REM,Non-REM,False
323,Non-REM,Non-REM,Non-REM,Non-REM,False
324,Non-REM,Non-REM,Non-REM,Non-REM,False
325,Non-REM,Non-REM,Non-REM,Non-REM,False
326,Non-REM,Non-REM,Non-REM,Non-REM,False
327,Non-REM,Non-REM,REM,REM,True
328,Non-REM,Non-REM,REM,REM,True
329,Non-REM,Non-REM,REM,REM,True
330,REM,REM,REM,REM,False
331,Non-REM,Non-REM,Non-REM,Non-REM,False
332,Non-REM,Non-REM,Non-REM,Non-REM,False
333,Non-REM,Non-REM,Non-REM,Non-REM,False
334,Non-REM,Non-REM,Non-REM,Non-REM,False
335,Non-REM,Non-REM,Non-REM,Non-REM,False
336,REM,REM,Non-REM,Non-REM,True
337,Non-REM,Non-REM,Non-REM,Non-REM,False
338,REM,REM,Non-REM,Non-REM,True
339,Non-REM,Non-REM,Non-REM,Non-REM,False
340,REM,REM,Non-REM,Non-REM,True
341,Non-REM,Non-REM,Non-REM,Non-REM,False
342,Non-REM,Non-REM,Non-REM,Non-REM,False
343,Non-REM,Non-REM,Non-REM,Non-REM,False
344,REM,REM,Non-REM,Non-REM,True
345,Non-REM,Non-REM,Non-REM,Non-REM,False
346,REM,REM,REM,REM,False
347,Non-REM,Non-REM,Non-REM,Non-REM,False
348,Non-REM,Non-REM,Non-REM,Non-REM,False
349,Non-REM,Non-REM,Non-REM,Non-REM,False
350,Non-REM,Non-REM,Non-REM,Non-REM,False
351,Non-REM,Non-REM,Non-REM,Non-REM,False
352,Non-REM,Non-REM,Non-REM,Non-REM,False
353,Non-REM,Non-REM,Non-REM,Non-REM,False
354,Non-REM,Non-REM,Non-REM,Non-REM,False
355,Non-REM,Non-REM,Non-REM,Non-REM,False
356,Non-REM,Non-REM,Non-REM,Non-REM,False
357,Non-REM,Non-REM,Non-REM,Non-REM,False
358,Non-REM,Non-REM,Non-REM,Non-REM,False
359,Non-REM,Non-REM,Non-REM,Non-REM,False
360,Non-REM,Non-REM,Non-REM,Non-REM,False
361,Non-REM,Non-REM,Non-REM,Non-REM,False
362,Non-REM,Non-REM,Non-REM,Non-REM,False
363,Non-REM,Non-REM,Non-REM,Non-REM,False
364,Non-REM,Non-REM,REM,REM,True
365,Non-REM,Non-REM,Non-REM,Non-REM,False
366,Non-REM,Non-REM,Non-REM,Non-REM,False
367,Non-REM,Non-REM,Non-REM,Non-REM,False
368,Non-REM,Non-REM,Non-REM,Non-REM,False
369,Non-REM,Non-REM,Non-REM,Non-REM,False
370,Non-REM,Non-REM,Non-REM,Non-REM,False
371,Non-REM,Non-REM,Non-REM,Non-REM,False
372,REM,REM,Non-REM,Non-REM,True
373,Non-REM,Non-REM,Non-REM,Non-REM,False
374,Non-REM,Non-REM,REM,REM,True
375,Non-REM,Non-REM,REM,REM,True
376,Non-REM,Non-REM,REM,REM,True
377,Non-REM,Non-REM,Non-REM,Non-REM,False
378,Non-REM,Non-REM,Non-REM,Non-REM,False
379,Non-REM,Non-REM,Non-REM,Non-REM,False
380,Non-REM,Non-REM,Non-REM,Non-REM,False
381,Non-REM,Non-REM,Non-REM,Non-REM,False
382,Non-REM,Non-REM,Non-REM,Non-REM,False
383,Non-REM,Non-REM,Non-REM,Non-REM,False
384,Non-REM,Non-REM,Non-REM,Non-REM,False
385,Non-REM,Non-REM,Non-REM,Non-REM,False
386,Non-REM,Non-REM,Non-REM,Non-REM,False
387,Non-REM,Non-REM,Non-REM,Non-REM,False
388,Non-REM,Non-REM,Non-REM,Non-REM,False
389,Non-REM,Non-REM,Non-REM,Non-REM,False
390,Non-REM,Non-REM,Non-REM,Non-REM,False
391,Non-REM,Non-REM,Non-REM,Non-REM,False
392,Non-REM,Non-REM,Non-REM,Non-REM,False
393,Non-REM,Non-REM,Non-REM,Non-REM,False
394,Non-REM,Non-REM,REM,Non-REM,False
395,Non-REM,Non-REM,Non-REM,Non-REM,False
396,Non-REM,Non-REM,Non-REM,Non-REM,False
397,Non-REM,Non-REM,Non-REM,Non-REM,False
398,Non-REM,Non-REM,Non-REM,Non-REM,False
399,Non-REM,Non-REM,REM,Non-REM,False
400,Non-REM,Non-REM,Non-REM,Non-REM,False
401,Non-REM,Non-REM,Non-REM,Non-REM,False
402,Non-REM,Non-REM,Non-REM,Non-REM,False
403,Non-REM,Non-REM,Non-REM,Non-REM,False
404,Non-REM,Non-REM,Non-REM,Non-REM,False
405,Non-REM,Non-REM,Non-REM,Non-REM,False
406,Non-REM,Non-REM,Non-REM,Non-REM,False
407,Non-REM,Non-REM,REM,Non-REM,False
408,Non-REM,Non-REM,Non-REM,Non-REM,False
409,Non-REM,Non-REM,Non-REM,Non-REM,False
410,Non-REM,Non-REM,Non-REM,Non-REM,False
411,Non-REM,Non-REM,REM,Non-REM,False
412,Non-REM,Non-REM,Non-REM,Non-REM,False
413,Non-REM,Non-REM,Non-REM,Non-REM,False
414,Non-REM,Non-REM,Non-REM,Non-REM,False
415,Non-REM,Non-REM,Non-REM,Non-REM,False
416,REM,REM,Non-REM,Non-REM,True
417,Non-REM,Non-REM,Non-REM,Non-REM,False
418,Non-REM,Non-REM,Non-REM,Non-REM,False
419,Non-REM,Non-REM,Non-REM,Non-REM,False
420,Non-REM,Non-REM,Non-REM,Non-REM,False
421,Non-REM,Non-REM,Non-REM,Non-REM,False
422,Non-REM,Non-REM,Non-REM,Non-REM,False
423,Non-REM,Non-REM,REM,Non-REM,False
424,Non-REM,Non-REM,Non-REM,Non-REM,False
425,Non-REM,Non-REM,Non-REM,Non-REM,False
426,REM,REM,Non-REM,Non-REM,True
427,Non-REM,Non-REM,Non-REM,Non-REM,False
428,Non-REM,Non-REM,Non-REM,Non-REM,False
429,Non-REM,Non-REM,Non-REM,Non-REM,False
430,Non-REM,Non-REM,Non-REM,Non-REM,False
431,Non-REM,Non-REM,Non-REM,Non-REM,False
432,Non-REM,Non-REM,Non-REM,Non-REM,False
433,Non-REM,Non-REM,Non-REM,Non-REM,False
434,REM,REM,Non-REM,Non-REM,True
435,Non-REM,Non-REM,Non-REM,Non-REM,False
436,Non-REM,Non-REM,Non-REM,Non-REM,False
437,Non-REM,Non-REM,Non-REM,Non-REM,False
438,Non-REM,Non-REM,Non-REM,Non-REM,False
439,Non-REM,Non-REM,Non-REM,Non-REM,False
440,Non-REM,Non-REM,Non-REM,Non-REM,False
441,Non-REM,Non-REM,Non-REM,Non-REM,False
442,Non-REM,Non-REM,REM,Non-REM,False
443,Non-REM,Non-REM,Non-REM,Non-REM,False
444,Non-REM,Non-REM,Non-REM,Non-REM,False
445,Non-REM,Non-REM,REM,Non-REM,False
446,Non-REM,Non-REM,REM,Non-REM,False
447,Non-REM,Non-REM,REM,Non-REM,False
448,Non-REM,Non-REM,Non-REM,Non-REM,False
449,Non-REM,Non-REM,REM,REM,True
450,Non-REM,Non-REM,REM,Non-REM,False
451,Non-REM,Non-REM,Non-REM,Non-REM,False
452,REM,REM,Non-REM,Non-REM,True
453,Non-REM,Non-REM,Non-REM,Non-REM,False
454,Non-REM,Non-REM,Non-REM,Non-REM,False
455,Non-REM,Non-REM,Non-REM,Non-REM,False
456,Non-REM,Non-REM,Non-REM,Non-REM,False
457,Non-REM,Non-REM,Non-REM,Non-REM,False
458,Non-REM,Non-REM,Non-REM,Non-REM,False
459,Non-REM,Non-REM,Non-REM,Non-REM,False
460,Non-REM,Non-REM,Non-REM,Non-REM,False
461,Non-REM,Non-REM,Non-REM,Non-REM,False
462,Non-REM,Non-REM,Non-REM,Non-REM,False
463,Non-REM,Non-REM,Non-REM,Non-REM,False
464,Non-REM,Non-REM,Non-REM,Non-REM,False
465,Non-REM,Non-REM,Non-REM,Non-REM,False
466,REM,REM,Non-REM,Non-REM,True
467,Non-REM,Non-REM,REM,Non-REM,False
468,Non-REM,Non-REM,Non-REM,Non-REM,False
469,Non-REM,Non-REM,Non-REM,Non-REM,False
470,Non-REM,Non-REM,Non-REM,Non-REM,False
471,Non-REM,Non-REM,Non-REM,Non-REM,False
472,REM,REM,Non-REM,Non-REM,True
473,Non-REM,Non-REM,Non-REM,Non-REM,False
474,REM,REM,Non-REM,Non-REM,True
475,Non-REM,Non-REM,Non-REM,Non-REM,False
476,REM,REM,Non-REM,Non-REM,True
477,Non-REM,Non-REM,Non-REM,Non-REM,False
478,Non-REM,Non-REM,Non-REM,Non-REM,False
479,Non-REM,Non-REM,Non-REM,Non-REM,False
480,Non-REM,Non-REM,Non-REM,Non-REM,False
481,Non-REM,Non-REM,Non-REM,Non-REM,False
482,REM,REM,Non-REM,Non-REM,True
483,Non-REM,Non-REM,Non-REM,Non-REM,False
484,REM,REM,Non-REM,Non-REM,True
485,Non-REM,Non-REM,Non-REM,Non-REM,False
486,Non-REM,Non-REM,REM,Non-REM,False
487,Non-REM,Non-REM,Non-REM,Non-REM,False
488,Non-REM,Non-REM,Non-REM,Non-REM,False
489,Non-REM,Non-REM,Non-REM,Non-REM,False
490,REM,REM,Non-REM,Non-REM,True
491,Non-REM,Non-REM,Non-REM,Non-REM,False
492,Non-REM,Non-REM,Non-REM,Non-REM,False
493,Non-REM,Non-REM,REM,Non-REM,False
494,Non-REM,Non-REM,Non-REM,Non-REM,False
495,Non-REM,Non-REM,REM,Non-REM,False
496,Non-REM,Non-REM,Non-REM,Non-REM,False
497,Non-REM,Non-REM,REM,Non-REM,False
498,REM,REM,Non-REM,Non-REM,True
499,Non-REM,Non-REM,Non-REM,Non-REM,False
500,REM,REM,Non-REM,Non-REM,True
501,Non-REM,Non-REM,REM,Non-REM,False
502,REM,REM,Non-REM,Non-REM,True
503,Non-REM,Non-REM,Non-REM,Non-REM,False
504,REM,REM,REM,REM,False
505,Non-REM,Non-REM,REM,Non-REM,False
506,REM,REM,REM,REM,False
507,Non-REM,Non-REM,REM,Non-REM,False
508,Non-REM,Non-REM,REM,Non-REM,False
509,Non-REM,Non-REM,Non-REM,Non-REM,False
510,Non-REM,Non-REM,Non-REM,Non-REM,False
511,Non-REM,Non-REM,Non-REM,Non-REM,False
512,REM,REM,Non-REM,Non-REM,True
513,Non-REM,Non-REM,Non-REM,Non-REM,False
514,REM,REM,Non-REM,Non-REM,True
515,Non-REM,Non-REM,Non-REM,Non-REM,False
516,REM,REM,Non-REM,Non-REM,True
517,Non-REM,Non-REM,Non-REM,Non-REM,False
518,Non-REM,Non-REM,Non-REM,Non-REM,False
519,Non-REM,Non-REM,Non-REM,Non-REM,False
520,Non-REM,Non-REM,Non-REM,Non-REM,False
521,Non-REM,Non-REM,Non-REM,Non-REM,False
